,id,hub,authority
0,6071,0.0001090603439771049,0.0
1,5061,0.0029713824443607932,0.00010971565672085111
2,31890,0.01700581520103093,0.00053719313554341
3,31987,0.0003232180759371279,1.0147303806943222e-07
4,11051,0.008406631843174188,0.00014512280462330277
5,1739,0.00018885453707325774,1.0147303806943222e-07
6,29946,1.594465684035466e-05,0.0
7,33671,0.010721677789583214,0.00011582494116544576
8,202,0.0001103165676384575,0.0
9,14148,0.0007096922672650059,0.00013147364117262468
10,30494,9.069353418678248e-06,0.00013269320764936385
11,206,3.0948519911751396e-05,0.0
12,13213,6.3231174767534605e-96,1.000456828069678e-05
13,5673,0.0009769345710689268,0.00010741936567699289
14,24228,6.3231174767534605e-96,0.00010739184814580888
15,222,4.227111312814631e-05,0.0
16,26810,9.371739759508092e-05,2.1753845294158366e-05
17,26786,0.00033087535304489053,0.00013129325862025498
18,31278,6.936002675968407e-05,1.827414238741887e-05
19,11105,0.0009758510611213745,0.00013574395052786285
20,299,1.9534755271169553e-05,0.0
21,36468,4.09765967623445e-05,0.00014190408126176185
22,375,4.17741584971132e-05,0.0
23,19253,0.009687202552761683,0.0003034552263249911
24,436,6.713447288842429e-05,0.0
25,18163,0.0004679285938503187,0.00022384569268223058
26,24207,0.0017822708852254828,0.0002559664571551783
27,24810,0.0,7.865098430167822e-06
28,448,8.314902168963688e-05,0.0
29,27803,0.11539076479740897,4.452902196545599e-07
30,35358,4.31975971125742e-05,7.61863239966756e-05
31,3832,7.624068907977909e-05,7.736436119581253e-08
32,525,4.4937966873618766e-05,0.0
33,22881,0.0053230578524882674,0.0003264377164931114
34,587,8.340535743547243e-05,0.0
35,34082,0.0,1.5183489828239333e-07
36,36322,0.0,3.2880600693649647e-06
37,33128,0.0005805085661818981,0.0001938542008211298
38,15405,0.00291791171784522,0.00014520779499813637
39,36345,1.1543228469036774e-07,5.753602281185668e-07
40,10534,7.97824858994507e-05,7.76028636636435e-08
41,37193,0.0012154001155708402,0.00011926230039437939
42,15770,0.0010417704204771726,0.00014345481365769967
43,625,4.316307689473716e-05,0.0
44,24718,0.0015103083863142186,0.0001990894862143982
45,5629,0.010098881240071557,0.0001140098104396864
46,640,2.1930712065158063e-05,0.0
47,22130,0.0006758114712591245,0.0001593087552837395
48,676,4.448271167590598e-05,0.0
49,3712,0.005563550437638381,0.0003231306583972048
50,723,7.395091348243326e-05,0.0
51,777,0.00011037467319973424,0.0
52,6569,0.0010345460173711632,0.00010746574863782891
53,23664,0.0031316308410397147,0.0002413143062182373
54,35773,0.010173401963875606,0.00043641848671722197
55,14769,0.00024369449374749856,1.0177780342625984e-06
56,16268,0.0003724924625509565,2.7578602305337072e-06
57,12635,6.46265897129977e-05,1.2807894088955214e-05
58,4802,7.395091348243326e-05,0.0
59,872,1.478753113529917e-05,0.0
60,37325,1.958677273486253e-05,0.0
61,34114,2.9467670876520225e-05,0.000142281945754685
62,970,7.544377233025829e-05,0.0
63,14179,3.111251777865696e-05,1.084440323482075e-05
64,1097,0.00014519254411527043,0.0
65,19222,0.01836538537552466,0.0003939192312191626
66,35822,0.00023732941748783005,0.00022332259447521512
67,34002,0.00024895331408014823,0.00021400553592597856
68,14094,1.0704218441323777e-05,0.00010749814423653223
69,14438,0.00010590652344581723,1.3509152837933903e-07
70,1106,0.0002991445042535471,0.0
71,28084,0.00011272004130049047,2.7833308190021125e-07
72,19063,0.000144554699988182,0.0001430711733290019
73,14193,0.0005681966317680209,0.00011304179188843802
74,2565,0.00010308797681257834,2.7833308190021125e-07
75,34077,0.0,3.418753581507847e-05
76,3361,0.0001865264136184132,2.7833308190021125e-07
77,6578,0.001434042167320578,0.00010803605381805537
78,29860,2.1315390649995223e-05,2.7833308190021125e-07
79,9035,0.0005737793407991968,1.3319237969781857e-05
80,16658,0.0001381498467521167,1.3319237969781857e-05
81,15191,0.0015639325324398386,0.0003200259059052995
82,3701,0.0008831352794121555,0.00010764138579005311
83,6746,0.0002899336807353665,0.0001079829902264201
84,12209,0.0016103065571377842,0.0001322302156342493
85,817,0.0003821415229106955,2.2232656638018556e-05
86,18993,0.0004480757884260434,0.00011115956754137124
87,37107,3.454297142994297e-05,0.00019624253053257779
88,14909,7.496601415153528e-05,2.7833308190021125e-07
89,37493,0.0,0.00020416206905397145
90,15278,0.00030692222031635007,0.00013472289903089472
91,18651,0.0004229501156646555,0.00014864974318128956
92,26343,0.00032707339385841625,0.0001435619892589348
93,36731,0.0008233315273252425,0.00011761715863309389
94,1116,6.405766281464013e-05,0.0
95,18507,0.0010635356743100425,0.00014370986376229314
96,28957,0.001475347536830708,0.0001982256719853887
97,36729,2.0875346996337116e-05,0.00012339119413988465
98,1141,0.00010009061096267997,0.0
99,10067,0.0005866541955961668,0.00010991164332961674
100,32719,0.00042907803078599496,9.31273275196159e-08
101,30235,0.0009314154596717075,0.00019700331786583016
102,28884,0.0,0.00010808938334939752
103,22666,0.0009847672264857513,0.0002803573974080462
104,22145,0.00015448619617000983,3.162187135065762e-05
105,1224,0.00028350727788257763,0.0
106,32753,0.0006224250347231426,0.00022595124309346913
107,21441,0.00013233047372448304,0.00011683653702457198
108,29215,5.920187313222518e-05,6.0521304448893735e-06
109,5538,0.0001176928081754488,0.00014693674829877387
110,11991,0.0009127202226049146,0.00011265964525273374
111,35765,0.0002517125106177278,3.5358011708022866e-05
112,1994,0.0002352745180552614,2.6378373417255834e-07
113,25285,0.0003355675633295955,5.711382955730882e-06
114,19979,1.9095530518699855e-05,2.6378373417255834e-07
115,30655,2.963570138577775e-05,5.975639983377114e-07
116,12156,0.0001507933042046788,1.948702330207575e-06
117,29188,0.0004135578537327323,0.0001733707996674576
118,27250,0.0005612113585796142,0.00017057699271382372
119,17008,0.0003260177821904033,2.6378373417255834e-07
120,26073,0.0002231815841748509,0.00013266134084498183
121,34429,0.00035873756339730627,0.0001356226543339783
122,29378,0.00019664000252267002,0.00014745620366170056
123,8570,0.0008981825079719933,0.00013716157079025543
124,11349,0.0001837457781234902,0.00011375656876155672
125,30670,0.00047510381385189684,0.00024792690063269124
126,7947,0.0005181141343310404,4.826902519339256e-07
127,33506,0.0,4.714386210062538e-07
128,2087,5.068141255125567e-05,2.6378373417255834e-07
